x,y,z,dx,dy,dz,Epoch
-5122.76779357588,-4176.8058969277,2013.67892110691,5.09318348508739,-4.86042518030638,2.86547591525078,2021-04-05T20:26:00.000
-4806.25245923119,-4459.13210845151,2181.08928391257,5.45349880198747,-4.54703604589847,2.71284001225128,2021-04-05T20:27:00.000
-4468.82281150091,-4722.05466667053,2338.98301405511,5.79007399023649,-4.21387205160413,2.54837044782054,2021-04-05T20:28:00.000
-4111.94777859937,-4964.4302814758,2486.67141814073,6.10144292805402,-3.86238699646455,2.37278652335433,2021-04-05T20:29:00.000
-3737.18096925677,-5185.20530087449,2623.51044378266,6.38625026161136,-3.49411408163357,2.18685646888598,2021-04-05T20:30:00.000
-3346.15382938064,-5383.42029458571,2748.90351073662,6.64325756452515,-3.11065952901034,1.99139361950017,2021-04-05T20:31:00.000
-2940.5684622198,-5558.21419888688,2862.30409234778,6.87134895183502,-2.71369465826629,1.7872527288431,2021-04-05T20:32:00.000
-2522.19016899773,-5708.82800498314,2963.21810442511,7.06953417017253,-2.3049491779546,1.57532626777228,2021-04-05T20:33:00.000
-2092.83974024348,-5834.60809655638,3051.20603860508,7.23695501861176,-1.88620479371112,1.35654045123844,2021-04-05T20:34:00.000
-1654.38539750263,-5935.00902378708,3125.88486599937,7.37288878795724,-1.45928369684462,1.13185081318473,2021-04-05T20:35:00.000
-1208.73466678391,-6009.59570628327,3186.92965269804,7.47674817909962,-1.026041815955,0.902237725641629,2021-04-05T20:36:00.000
-757.826172185631,-6058.04527171526,3234.0749441067,7.54808441869035,-0.588362118672577,0.668702801325272,2021-04-05T20:37:00.000
-303.621255034895,-6080.14845113381,3267.11592292444,7.58658949307653,-0.148147321750416,0.432265009022519,2021-04-05T20:38:00.000
151.904550339133,-6075.81053133719,3285.90931282589,7.59209848804876,0.292688229619537,0.1939558437523,2021-04-05T20:39:00.000
606.770138873323,-6045.05180802041,3290.37398193886,7.56459112130308,0.732226864903937,-0.045185442433472,2021-04-05T20:40:00.000
1058.99754185128,-5988.0074512021,3280.49124414379,7.50419132435863,1.16855881843737,-0.284117513709853,2021-04-05T20:41:00.000
1506.62044344324,-5904.92680799627,3256.30487475496,7.41116353553673,1.59978845980367,-0.521799994006996,2021-04-05T20:42:00.000
1947.69265511378,-5796.17241608433,3217.92096428424,7.28591498936461,2.02404025821747,-0.757196807725237,2021-04-05T20:43:00.000
2380.29672260959,-5662.21841443515,3165.50750392956,7.12899500892014,2.43947147392878,-0.989281855417787,2021-04-05T20:44:00.000
2802.55224318949,-5503.64835429141,3099.29360164639,6.94108885063286,2.84427849447853,-1.21704453034781,2021-04-05T20:45:00.000
3212.6239652059,-5321.15266279825,3019.56845965786,6.72301604946687,3.23670393683398,-1.43949301619465,2021-04-05T20:46:00.000
3608.72975513327,-5115.5256193681,2926.68011522971,6.47572673727125,3.61504454053937,-1.65565864264855,2021-04-05T20:47:00.000
